id	label	prediction	aggressive_probability	non-aggressive_probability	text
1		non-aggressive	0.1	0.9	sianthagawdd I can go to the third floor amp beat yo NY ass
2		non-aggressive	0.093	0.907	Baby come through you deserve rounds 🍻
3		non-aggressive	0.07	0.93	A BUG JUST CAME OUT OF MY OATMEAL CONTAINER scarredforlife lostmyappetite
4		aggressive	0.56	0.44	Mfs got all types of diseases They wont even tell you Your roommate can be burning and shit JobCorp NoSexing
5		non-aggressive	0.053	0.947	I want a puppy 🐶
6		non-aggressive	0.098	0.902	kelseyspriggs Im going toI must
7		non-aggressive	0.08	0.92	EileenBelden cute twitpic bae ur sexy love u
8		non-aggressive	0.052	0.948	Just that one homelesslooking chick with an iPhone All day erryday httptco88UNWasYAO
9		non-aggressive	0.028	0.972	You know I new to this liquor rep thing hahah a rep I can tell youre here on a Thursday might at 8 pm to taste me on something me
10		non-aggressive	0.015	0.985	This week has been awful I cannot wait to get outta this place today I wish I had off tomorrow annoyed 😤
11		non-aggressive	0.058	0.942	AdmiralNelson7 and I worked out together this morning does that make us a fit couple weworkout
12		non-aggressive	0.057	0.943	Pretty much httptcoMxO7LvfuaX
13		non-aggressive	0.043	0.957	“Smith10Jenna Sometimes youve gotta let go in order to see if theyll fight for you to stay”
14		non-aggressive	0.064	0.936	Working on a closed relationship is not as easy as it soundsits fon be a point were sumn will try to mess it up
15		non-aggressive	0.036	0.964	We got so many bottles tonight🙏🙏 Lime and Tequila shots
16		non-aggressive	0.032	0.968	Im at CenteronHalsted Chicago IL httptcodnQi9t6OwO
17		non-aggressive	0.023	0.977	Tis herself Just in time for StPatricks day  babyonsies cutepackaging baby babyt showergifts… httptcodyeDEaWBXy
18		non-aggressive	0.073	0.927	“CuntsWatching Poor bastard haha httptcopgSWN5cpB9”at least Im not as crazy as her jfc
19		non-aggressive	0.069	0.931	Senior night 💜👊😂 alexismalexis5 is Hampshire till she dies Gonna miss cheering with you so much momma 😥🙈 httptcoLAFtxIcrqz
20		non-aggressive	0.069	0.931	HollyBeam7 tell her Tanner loves her
21		non-aggressive	0.028	0.972	Whos ready for Oscar weekend One of the best ways to prepare for an event is with a JuiceRx cleanse detox slimdown healthyliving
22		non-aggressive	0.026	0.974	So ima have my surgery today 😩😩
23		non-aggressive	0.028	0.972	ambam07 haha well its not the most exciting place to work
24		non-aggressive	0.007	0.993	The most random ppl show up in my dreams Last night it was the guy with Dreds I had a huge crush on during undergrad
25		non-aggressive	0.062	0.938	broke my thumbnail off trying to change the diaper genie momprobs 😑 Coryshouldhavedoneit
26		non-aggressive	0.114	0.886	Crashing through the parlor doors what was your first reaction  Screaming drunk disorderly ill tell you mine
27		non-aggressive	0.063	0.937	well if I cant straighten my hair httptcodW8P2IvaW1
28		non-aggressive	0.061	0.939	I wanna rock some sheet rock knock some pictures off the wall
29		non-aggressive	0.047	0.953	tiffanymyi iamvicc67 nooo thats fees just for the carryon
30		non-aggressive	0.05	0.95	Moments like thisI cherish 😂😊❤️ jaycastillo217 so good with kids  httptcoGLkMlQxKU7
31		non-aggressive	0.047	0.953	im so sweaty standing outside like its freezing wtf is wrong w my body
32		non-aggressive	0.048	0.952	i dont think anyone knows how much i miss my girl DevinnElizabeth❤️❤️
33		non-aggressive	0.079	0.921	NO WORK TONIGHT BITCHES
34		non-aggressive	0.056	0.944	ryankirbz This was in a thread about peoples Top 5 Favorite Vocalists you got mentioned quite a few times httptcouHGVV5ZRfY
35		non-aggressive	0.028	0.972	I stumbled on to something worth my attention
36		non-aggressive	0.042	0.958	LA 24 hours Im all up in there
37		non-aggressive	0.047	0.953	Wtf this white castles on 79th ghetto as hell talm bout can I get a name for your receipt 😒
38		non-aggressive	0.062	0.938	Some coke will make me feel better
39		non-aggressive	0.052	0.948	Chicago  I am inside of you
40		non-aggressive	0.103	0.897	megancarnett HoopinTimi lets go to mcdonalds well get your drinks there any size you want
41		non-aggressive	0.037	0.963	Lets just say my mind isnt as focused nor tunnel visioned as hers
42		non-aggressive	0.171	0.829	“TedOfficialPage big boobs don’t count if ur fat      yeah well BIG DICKS DONT COUNT IF YOU ARE ONE”THIS IS SO PERFECT 🙌😆
43		non-aggressive	0.075	0.925	nickbayside um Im old and not hip and cool anymore Whats a doge shirt PS Reprint the Its Always Sunny shirts or do a polo please
44		non-aggressive	0.039	0.961	TweetMyJobs internship Job alert Intern  TransUnion  Chicago  IL httptcoy8j2norGYf Jobs
45		non-aggressive	0.039	0.961	TransUnion Intern  Chicago  IL httptcoLuzKB8eYGt internship Job Jobs TweetMyJobs
46		non-aggressive	0.039	0.961	Intern  TransUnion  Chicago  IL httptcoWxK4sAN7a9 internship Job Jobs TweetMyJobs
47		non-aggressive	0.039	0.961	Intern  TransUnion  Chicago  IL httptcoKlx8u6m1MM internship Job Jobs TweetMyJobs
